Student Name,Student ID,Major
Tim Gill,SID1000,Psychology
Ashley Powell,SID1001,Economics
Anthony Mitchell,SID1002,Philosophy
Cindy Gomez,SID1003,Biology
Patricia Gillespie,SID1004,Economics
Michael Wilcox,SID1005,Mathematics
Heather Lopez,SID1006,Biology
Brooke Hurst,SID1007,Art
Dale Kirby,SID1008,Computer Science
Katie Peters,SID1009,Economics
Elizabeth Boyd,SID1010,Computer Science
Philip Lopez,SID1011,Physics
John Roth,SID1012,Art
William Foster,SID1013,Literature
Kenneth Thompson MD,SID1014,History
Lisa Franco,SID1015,Computer Science
Scott Anderson,SID1016,Computer Science
Ronald Hernandez,SID1017,Physics
Daniel Nunez,SID1018,Mathematics
Gerald Medina,SID1019,Mathematics
Shawn Hudson,SID1020,Biology
Jamie Medina,SID1021,Computer Science
Anne Lee,SID1022,Biology
Troy Garrett,SID1023,Medicine
Sandra Leon,SID1024,Computer Science
Matthew Bender,SID1025,Medicine
Ashley Nguyen,SID1026,History
Jennifer Martin,SID1027,History
Julia Lyons,SID1028,Economics
Kimberly Fisher,SID1029,History
Toni Jones,SID1030,Psychology
Brian Henson,SID1031,Philosophy
Ryan Stone,SID1032,Literature
Anna Adams,SID1033,Philosophy
Amanda Mcdonald,SID1034,Computer Science
Amber Howard,SID1035,Medicine
Scott Miller,SID1036,Philosophy
Dr. Omar Barber MD,SID1037,Mathematics
Justin Simon,SID1038,History
James Martin,SID1039,Philosophy
Deborah Vincent,SID1040,Philosophy
Shawn Howard,SID1041,Computer Science
David Long,SID1042,Computer Science
Brittney Thompson,SID1043,Physics
Shelley Lewis,SID1044,Biology
Karen Miller,SID1045,Medicine
Trevor Jacobson,SID1046,Economics
Brett Villa,SID1047,Physics
Michael Baxter,SID1048,Engineering
Amanda Montgomery,SID1049,Mathematics
Victor Howard,SID1050,Engineering
Jill Jackson,SID1051,Engineering
Jamie Guerrero,SID1052,Literature
John Ramirez,SID1053,Medicine
David Cooper,SID1054,Physics
Gregory Diaz,SID1055,Engineering
William Bailey,SID1056,Engineering
Stacy Davis,SID1057,Physics
Darryl Cummings,SID1058,Computer Science
Amy Oneill,SID1059,Engineering
Elizabeth Cunningham,SID1060,History
Jermaine Parker,SID1061,Mathematics
Lisa Barajas,SID1062,Art
Dwayne Jacobs,SID1063,Mathematics
Ronald Campos,SID1064,Computer Science
Christopher Dixon,SID1065,Philosophy
Joshua Harper,SID1066,History
Julie Green,SID1067,Medicine
Cheryl Garcia,SID1068,Philosophy
William Hopkins,SID1069,Economics
Christopher Castillo,SID1070,History
Nancy Fisher,SID1071,Philosophy
Christy Williams,SID1072,Psychology
Tina Schwartz,SID1073,Economics
Mary Clay,SID1074,Psychology
John Lawrence,SID1075,Mathematics
Katherine Green,SID1076,History
Jennifer Mcgee,SID1077,Economics
Randall Avila,SID1078,History
Dawn Stevens,SID1079,Economics
David Chen,SID1080,Medicine
Charlotte Howell,SID1081,Mathematics
Jose Hart,SID1082,Literature
Michael Robinson,SID1083,Economics
James Gibson,SID1084,History
John Watts,SID1085,Computer Science
Mr. Tyler King,SID1086,Mathematics
Terry Barnes,SID1087,Physics
Audrey Durham,SID1088,Literature
Jessica Murphy,SID1089,Computer Science
Stacey Romero,SID1090,Literature
Kyle Thomas,SID1091,Engineering
Shelia Leon,SID1092,Physics
Jerry Shields,SID1093,Art
Wendy Wright,SID1094,History
Jared Dominguez,SID1095,Mathematics
Austin Velasquez,SID1096,Medicine
David Hernandez,SID1097,History
Kayla Park,SID1098,History
Melanie Franklin,SID1099,Biology
Billy Allen,SID1100,Computer Science
Walter Donaldson,SID1101,Engineering
Mike Barber,SID1102,Mathematics
Aaron Bray,SID1103,Medicine
David Miller,SID1104,Literature
Jennifer Thomas,SID1105,Mathematics
Jennifer Carter,SID1106,Medicine
Angela Lee,SID1107,Psychology
Amanda Shea,SID1108,Computer Science
Hunter Norris,SID1109,Medicine
Alexandra Carlson,SID1110,Literature
Casey Hughes,SID1111,Computer Science
Terri Smith,SID1112,Biology
Mrs. Diana Roy,SID1113,Physics
David Pope,SID1114,Mathematics
Ellen Pugh,SID1115,Mathematics
Joshua James,SID1116,Physics
John Jackson,SID1117,Medicine
William Patterson,SID1118,Engineering
Adrian Smith,SID1119,Philosophy
Ryan Wolf,SID1120,Mathematics
Ms. Amber Weber MD,SID1121,Psychology
Hailey Rivera,SID1122,Mathematics
Kimberly Anderson,SID1123,Biology
Ashley Edwards,SID1124,Art
Carl Martinez,SID1125,Philosophy
Michelle Stout,SID1126,Art
